season,game_id,team_id,team_name,date,ft_pct_mean,fg_made_sum,fg_made_mean,fg_attempted_sum,fg_attempted_mean,three_made_sum,three_made_mean,three_attempted_sum,three_attempted_mean,ft_made_sum,ft_made_mean,ft_attempted_sum,ft_attempted_mean,minutes_sum,minutes_mean,minutes_max,points_sum,points_mean,points_std,points_max,assists_sum,assists_mean,assists_std,assists_max,total_rebounds_sum,total_rebounds_mean,total_rebounds_std,total_rebounds_max,offensive_reb_sum,offensive_reb_mean,defensive_reb_sum,defensive_reb_mean,steals_sum,steals_mean,blocks_sum,blocks_mean,turnovers_sum,turnovers_mean,personal_fouls_sum,personal_fouls_mean,plus_minus_sum,plus_minus_mean,fg_pct_mean,three_pct_mean,assist_to_turnover_ratio,three_point_rate,offensive_reb_rate,true_shooting_pct,team_won
2021,8787,4,Brooklyn Nets,2021-10-19T23:30:00.000Z,32.69230769230769,37.0,2.8461538461538463,84.0,6.461538461538462,17.0,1.3076923076923077,32.0,2.4615384615384617,13.0,1.0,23.0,1.7692307692307692,240.0,18.46153846153846,30.766666666666666,104.0,8.0,10.408329997330663,32.0,19.0,1.4615384615384615,2.3315011121372935,8.0,44.0,3.3846153846153846,3.428762204704528,11.0,5.0,0.38461538461538464,39.0,3.0,3.0,0.23076923076923078,9.0,0.6923076923076923,12.0,0.9230769230769231,17.0,1.3076923076923077,-115.0,-8.846153846153847,22.54615384615385,19.453846153846154,1.5833333333333333,0.4594594594594595,0.11363636363636363,0.5524861878453038,0
2021,8787,21,Milwaukee Bucks,2021-10-19T23:30:00.000Z,33.56666666666667,48.0,4.0,105.0,8.75,17.0,1.4166666666666667,45.0,3.75,14.0,1.1666666666666667,18.0,1.5,240.0,20.0,30.95,127.0,10.583333333333334,9.811480597501658,32.0,25.0,2.0833333333333335,2.3143164446679725,7.0,54.0,4.5,3.89638527122488,14.0,13.0,1.0833333333333333,41.0,3.4166666666666665,8.0,0.6666666666666666,9.0,0.75,7.0,0.5833333333333334,19.0,1.5833333333333333,115.0,9.583333333333334,37.85,27.03333333333333,3.5714285714285716,0.3541666666666667,0.24074074074074073,0.5623450230251505,1
2021,8788,11,Golden State Warriors,2021-10-20T02:00:00.000Z,54.166666666666664,41.0,3.4166666666666665,93.0,7.75,14.0,1.1666666666666667,39.0,3.25,25.0,2.0833333333333335,30.0,2.5,239.96666666666667,19.997222222222224,36.18333333333333,121.0,10.083333333333334,6.801849124697748,21.0,30.0,2.5,2.969542358374741,10.0,50.0,4.166666666666667,3.8336626999476224,11.0,9.0,0.75,41.0,3.4166666666666665,9.0,0.75,2.0,0.16666666666666666,17.0,1.4166666666666667,18.0,1.5,35.0,2.9166666666666665,44.525,30.116666666666664,1.7647058823529411,0.34146341463414637,0.18,0.5696798493408662,1
2021,8788,17,Los Angeles Lakers,2021-10-20T02:00:00.000Z,20.36,45.0,4.5,95.0,9.5,15.0,1.5,42.0,4.2,9.0,0.9,19.0,1.9,239.98333333333332,23.99833333333333,38.916666666666664,114.0,11.4,11.852800887928934,34.0,21.0,2.1,1.911950719959998,5.0,45.0,4.5,3.865804501581067,11.0,5.0,0.5,40.0,4.0,7.0,0.7,4.0,0.4,17.0,1.7,25.0,2.5,-35.0,-3.5,49.33,29.05,1.2352941176470589,0.3333333333333333,0.1111111111111111,0.5514705882352942,0
2021,8789,5,Charlotte Hornets,2021-10-20T23:00:00.000Z,68.05555555555556,46.0,5.111111111111111,107.0,11.88888888888889,13.0,1.4444444444444444,31.0,3.4444444444444446,18.0,2.0,27.0,3.0,239.96666666666667,26.662962962962965,35.25,123.0,13.666666666666666,9.746794344808963,31.0,29.0,3.2222222222222223,2.279132388529557,7.0,46.0,5.111111111111111,3.6209268304000717,10.0,12.0,1.3333333333333333,34.0,3.7777777777777777,9.0,1.0,5.0,0.5555555555555556,8.0,0.8888888888888888,21.0,2.3333333333333335,5.0,0.5555555555555556,39.666666666666664,23.144444444444446,3.625,0.2826086956521739,0.2608695652173913,0.517328398384926,1
2021,8789,15,Indiana Pacers,2021-10-20T23:00:00.000Z,65.625,42.0,5.25,90.0,11.25,17.0,2.125,47.0,5.875,21.0,2.625,24.0,3.0,239.95,29.99375,40.3,122.0,15.25,12.03269355903799,33.0,29.0,3.625,3.7008686239082533,11.0,51.0,6.375,4.0686080455816125,15.0,8.0,1.0,43.0,5.375,2.0,0.25,10.0,1.25,16.0,2.0,24.0,3.0,-5.0,-0.625,42.175,31.5875,1.8125,0.40476190476190477,0.1568627450980392,0.6066030230708035,0
2021,8790,6,Chicago Bulls,2021-10-20T23:00:00.000Z,20.0,37.0,3.7,86.0,8.6,7.0,0.7,23.0,2.3,13.0,1.3,15.0,1.5,239.96666666666667,23.996666666666666,37.766666666666666,94.0,9.4,10.668749796589207,34.0,18.0,1.8,1.8135294011647258,4.0,48.0,4.8,4.315347288715269,15.0,9.0,0.9,39.0,3.9,8.0,0.8,5.0,0.5,17.0,1.7,19.0,1.9,30.0,3.0,31.1,24.49,1.0588235294117647,0.1891891891891892,0.1875,0.5075593952483801,1
2021,8790,10,Detroit Pistons,2021-10-20T23:00:00.000Z,25.0,36.0,3.6,90.0,9.0,6.0,0.6,28.0,2.8,10.0,1.0,13.0,1.3,239.96666666666667,23.996666666666666,32.516666666666666,88.0,8.8,6.679986693266852,24.0,17.0,1.7,1.2516655570345725,4.0,47.0,4.7,2.7100635498903793,9.0,11.0,1.1,36.0,3.6,7.0,0.7,5.0,0.5,16.0,1.6,16.0,1.6,-30.0,-3.0,38.38,13.830000000000002,1.0625,0.16666666666666666,0.23404255319148937,0.45967404931048894,0
2021,8791,2,Boston Celtics,2021-10-20T23:30:00.000Z,31.11111111111111,48.0,5.333333333333333,117.0,13.0,21.0,2.3333333333333335,57.0,6.333333333333333,17.0,1.8888888888888888,23.0,2.5555555555555554,289.95,32.21666666666667,45.95,134.0,14.88888888888889,13.559539487427703,46.0,34.0,3.7777777777777777,2.5873624493766707,8.0,56.0,6.222222222222222,3.3458099833141213,11.0,15.0,1.6666666666666667,41.0,4.555555555555555,13.0,1.4444444444444444,9.0,1.0,18.0,2.0,24.0,2.6666666666666665,-20.0,-2.2222222222222223,41.87777777777777,29.733333333333334,1.8888888888888888,0.4375,0.26785714285714285,0.5270610446821901,0
2021,8791,24,New York Knicks,2021-10-20T23:30:00.000Z,45.839999999999996,51.0,5.1,105.0,10.5,17.0,1.7,45.0,4.5,19.0,1.9,27.0,2.7,289.96666666666664,28.996666666666663,47.05,138.0,13.8,11.707547423208103,35.0,27.0,2.7,2.7100635498903793,9.0,55.0,5.5,4.927248499698161,17.0,7.0,0.7,48.0,4.8,9.0,0.9,10.0,1.0,17.0,1.7,22.0,2.2,22.0,2.2,44.739999999999995,25.99,1.588235294117647,0.3333333333333333,0.12727272727272726,0.5903490759753593,1
